provider_short,provider_full,vendor,region,url,compliance_url,type,notes
Salesforce,Salesforce Platform,Salesforce,US/Global,https://www.salesforce.com/platform,https://compliance.salesforce.com,specialty,CRM and business cloud
ServiceNow,ServiceNow Cloud,ServiceNow,US/Global,https://www.servicenow.com,https://www.servicenow.com/company/trust.html,specialty,Workflow and ITSM cloud
Workday,Workday Cloud,Workday,US/Global,https://www.workday.com,https://www.workday.com/en-us/company/about-workday/security-trust.html,specialty,HR and finance cloud
Cloudflare,Cloudflare,Cloudflare,US/Global,https://www.cloudflare.com,https://www.cloudflare.com/trust-hub/compliance-resources,specialty,Edge cloud and security
Fastly,Fastly,Fastly,US/Global,https://www.fastly.com,https://www.fastly.com/trust,specialty,Edge cloud platform
Akamai,Akamai Connected Cloud,Akamai,US/Global,https://www.akamai.com/solutions/cloud-computing,https://www.akamai.com/legal/compliance,specialty,CDN and edge cloud
Lambda Labs,Lambda Cloud,Lambda Labs,US,https://lambdalabs.com/service/gpu-cloud,https://lambdalabs.com/legal/terms-of-service,specialty,GPU cloud for AI/ML
CoreWeave,CoreWeave,CoreWeave,US,https://www.coreweave.com,https://www.coreweave.com/trust-center,specialty,GPU cloud for AI/ML
Paperspace,Paperspace (DigitalOcean),DigitalOcean,US,https://www.paperspace.com,https://www.paperspace.com/security,specialty,GPU cloud and ML platform
RunPod,RunPod,RunPod,US,https://www.runpod.io,https://www.runpod.io/legal/privacy-policy,specialty,GPU cloud for AI inference
Crusoe Cloud,Crusoe Cloud,Crusoe Energy,US,https://www.crusoe.ai,https://www.crusoe.ai/cloud,specialty,Clean energy AI cloud
Together AI,Together Cloud,Together AI,US,https://www.together.ai,https://www.together.ai/trust,specialty,AI inference cloud
Anyscale,Anyscale,Anyscale,US,https://www.anyscale.com,https://www.anyscale.com/security,specialty,Ray-based AI compute
Modal,Modal,Modal Labs,US,https://modal.com,https://modal.com/security,specialty,Serverless AI compute
Replicate,Replicate,Replicate,US,https://replicate.com,https://replicate.com/terms,specialty,ML model hosting
Baseten,Baseten,Baseten,US,https://www.baseten.co,https://www.baseten.co/security,specialty,ML inference platform
